Dataline,Play,PlayerLinenumber,ActSceneLine,PlayerLine,Player
603,Henry IV,42,1.3.273,"Which I shall send you written, be assured,",STEPHANO
604,Henry IV,42,1.3.274,"Will easily be granted. You, my lord,",LAUNCE
605,Henry IV,42,,To Northumberland,KING CLAUDIUS
606,Henry IV,42,1.3.275,"Your son in Scotland being thus employ'd,",Nurse
607,Henry IV,42,1.3.276,Shall secretly into the bosom creep,LEONTES
608,Henry IV,42,1.3.277,"Of that same noble prelate, well beloved,",PAROLLES
609,Henry IV,42,1.3.278,The archbishop.,GLOUCESTER
610,Henry IV,43,1.3.279,"Of York, is it not?",MISTRESS PAGE
611,Henry IV,44,1.3.280,"True, who bears hard",CHATILLON
612,Henry IV,44,1.3.281,"His brother's death at Bristol, the Lord Scroop.",LORENZO
613,Henry IV,44,1.3.282,"I speak not this in estimation,",LEONTES
614,Henry IV,44,1.3.283,"As what I think might be, but what I know",KING CLAUDIUS
615,Henry IV,44,1.3.284,"Is ruminated, plotted and set down,",MORTIMER
616,Henry IV,44,1.3.285,And only stays but to behold the face,PROSPERO
617,Henry IV,44,1.3.286,Of that occasion that shall bring it on.,IAGO
618,Henry IV,45,1.3.287,"I smell it: upon my life, it will do well.",Second Lord
619,Henry IV,46,1.3.288,"Before the game is afoot, thou still let'st slip.",OF SYRACUSE
620,Henry IV,47,1.3.289,"Why, it cannot choose but be a noble plot,",BASTARD
621,Henry IV,47,1.3.290,"And then the power of Scotland and of York,",PANDARUS
622,Henry IV,47,1.3.291,"To join with Mortimer, ha?",BASTARD
623,Henry IV,48,1.3.292,And so they shall.,KING HENRY V
624,Henry IV,49,1.3.293,"In faith, it is exceedingly well aim'd.",JULIET
625,Henry IV,50,1.3.294,"And 'tis no little reason bids us speed,",WILLIAM
626,Henry IV,50,1.3.295,"To save our heads by raising of a head,",HENRY BOLINGBROKE
627,Henry IV,50,1.3.296,"For, bear ourselves as even as we can,",KING CLAUDIUS
628,Henry IV,50,1.3.297,"The king will always think him in our debt,",LAUNCE
629,Henry IV,50,1.3.298,"And think we think ourselves unsatisfied,",SHYLOCK
630,Henry IV,50,1.3.299,Till he hath found a time to pay us home:,SUFFOLK
631,Henry IV,50,1.3.300,And see already how he doth begin,KING LEAR
632,Henry IV,50,1.3.301,To make us strangers to his looks of love.,PAGE
633,Henry IV,51,1.3.302,"He does, he does: we'll be revenged on him.",Soldier
634,Henry IV,52,1.3.303,"Cousin, farewell: no further go in this",FORD
635,Henry IV,52,1.3.304,Than I by letters shall direct your course.,DUCHESS
636,Henry IV,52,1.3.305,"When time is ripe, which will be suddenly,",IRIS
637,Henry IV,52,1.3.306,"I'll steal to Glendower and Lord Mortimer,",CALIBAN
638,Henry IV,52,1.3.307,"Where you and Douglas and our powers at once,",AJAX
639,Henry IV,52,1.3.308,"As I will fashion it, shall happily meet,",ULYSSES
640,Henry IV,52,1.3.309,"To bear our fortunes in our own strong arms,",OBERON
641,Henry IV,52,1.3.310,Which now we hold at much uncertainty.,Second Merchant
642,Henry IV,53,1.3.311,"Farewell, good brother: we shall thrive, I trust.",CLAUDIO
643,Henry IV,54,1.3.312,"Uncle, Adieu: O, let the hours be short",Soothsayer
644,Henry IV,54,1.3.313,Till fields and blows and groans applaud our sport!,PETRUCHIO
645,Henry IV,54,,Exeunt,DUKE SENIOR
646,Henry IV,54,,ACT II,First Lord
647,Henry IV,54,,SCENE I. Rochester. An inn yard.,CASSIUS
648,Henry IV,54,,Enter a Carrier with a lantern in his hand,BAPTISTA
649,Henry IV,1,2.1.1,"Heigh-ho! an it be not four by the day, I'll be",DOMITIUS ENOBARBUS
650,Henry IV,1,2.1.2,"hanged: Charles' wain is over the new chimney, and",BASTARD
651,Henry IV,1,2.1.3,"yet our horse not packed. What, ostler!",BEDFORD
652,Henry IV,2,2.1.4,"[Within]   Anon, anon.",THESEUS
653,Henry IV,3,2.1.5,"I prithee, Tom, beat Cut's saddle, put a few flocks",PROSPERO
654,Henry IV,3,2.1.6,"in the point, poor jade, is wrung in the withers out",WILLIAMS
655,Henry IV,3,2.1.7,of all cess.,Constable
656,Henry IV,3,,Enter another Carrier,IAGO
657,Henry IV,4,2.1.8,"Peas and beans are as dank here as a dog, and that",PAROLLES
658,Henry IV,4,2.1.9,is the next way to give poor jades the bots: this,MENENIUS
659,Henry IV,4,2.1.10,house is turned upside down since Robin Ostler died.,LYSIMACHUS
660,Henry IV,5,2.1.11,"Poor fellow, never joyed since the price of oats",PETRUCHIO
661,Henry IV,5,2.1.12,"rose, it was the death of him.",FALSTAFF
662,Henry IV,6,2.1.13,I think this be the most villanous house in all,CORDELIA
663,Henry IV,6,2.1.14,London road for fleas: I am stung like a tench.,IMOGEN
664,Henry IV,7,2.1.15,"Like a tench! by the mass, there is ne'er a king",KING RICHARD II
665,Henry IV,7,2.1.16,christen could be better bit than I have been since,Third Apparition
666,Henry IV,7,2.1.17,the first cock.,PORTIA
667,Henry IV,8,2.1.18,"Why, they will allow us ne'er a jordan, and then we",First Ambassador
668,Henry IV,8,2.1.19,"leak in your chimney, and your chamber-lie breeds",LEONATO
669,Henry IV,8,2.1.20,fleas like a loach.,HERMIA
670,Henry IV,9,2.1.21,"What, ostler! come away and be hanged!",VOLUMNIA
671,Henry IV,10,2.1.22,"I have a gammon of bacon and two razors of ginger,",TITANIA
672,Henry IV,10,2.1.23,to be delivered as far as Charing-cross.,PRINCESS
673,Henry IV,11,2.1.24,God's body! the turkeys in my pannier are quite,BENEDICK
674,Henry IV,11,2.1.25,"starved. What, ostler! A plague on thee! hast thou",TALBOT
675,Henry IV,11,2.1.26,never an eye in thy head? canst not hear? An,WARWICK
676,Henry IV,11,2.1.27,"'twere not as good deed as drink, to break the pate",JAQUES
677,Henry IV,11,2.1.28,"on thee, I am a very villain. Come, and be hanged!",AGRIPPA
678,Henry IV,11,2.1.29,hast thou no faith in thee?,Clown
679,Henry IV,11,,Enter GADSHILL,BUCKINGHAM
680,Henry IV,12,2.1.30,"Good morrow, carriers. What's o'clock?",BEATRICE
681,Henry IV,13,2.1.31,I think it be two o'clock.,AEGEON
682,Henry IV,14,2.1.32,"I pray thee lend me thy lantern, to see my gelding",
683,Henry IV,14,2.1.33,in the stable.,First Soldier
684,Henry IV,15,2.1.34,"Nay, by God, soft, I know a trick worth two of that, i' faith.",PISANIO
685,Henry IV,16,2.1.35,"I pray thee, lend me thine.",SAY
686,Henry IV,17,2.1.36,"Ay, when? can'st tell? Lend me thy lantern, quoth",DESDEMONA
687,Henry IV,17,2.1.37,"he? marry, I'll see thee hanged first.",CAPULET
688,Henry IV,18,2.1.38,"Sirrah carrier, what time do you mean to come to London?",GLOUCESTER
689,Henry IV,19,2.1.39,"Time enough to go to bed with a candle, I warrant",DEMETRIUS
690,Henry IV,19,2.1.40,"thee. Come, neighbour Mugs, we'll call up the",Chorus
691,Henry IV,19,2.1.41,"gentleman: they will along with company, for they",LUCIUS
692,Henry IV,19,2.1.42,have great charge.,QUEEN MARGARET
693,Henry IV,19,,Exeunt carriers,MISTRESS FORD
694,Henry IV,20,2.1.43,"What, ho! chamberlain!",HERMIONE
695,Henry IV,21,2.1.44,"[Within]  At hand, quoth pick-purse.",MOTH
696,Henry IV,22,2.1.45,"That's even as fair as--at hand, quoth the",HELENA
697,Henry IV,22,2.1.46,"chamberlain, for thou variest no more from picking",ACHILLES
698,Henry IV,22,2.1.47,"of purses than giving direction doth from labouring,",ISABELLA
699,Henry IV,22,2.1.48,thou layest the plot how.,ALL
700,Henry IV,22,,Enter Chamberlain,LAERTES
701,Henry IV,23,2.1.49,"Good morrow, Master Gadshill. It holds current that",Second Gentleman
702,Henry IV,23,2.1.50,I told you yesternight: there's a franklin in the,GLOUCESTER
703,Henry IV,23,2.1.51,wild of Kent hath brought three hundred marks with,YOUNG CLIFFORD
704,Henry IV,23,2.1.52,him in gold: I heard him tell it to one of his,ISABELLA
705,Henry IV,23,2.1.53,"company last night at supper, a kind of auditor, one",NORTHUMBERLAND
706,Henry IV,23,2.1.54,"that hath abundance of charge too, God knows what.",SIR HUGH EVANS
707,Henry IV,23,2.1.55,"They are up already, and call for eggs and butter,",KATHARINE
708,Henry IV,23,2.1.56,they will away presently.,OCTAVIUS CAESAR
709,Henry IV,24,2.1.57,"Sirrah, if they meet not with Saint Nicholas'",DROMIO OF SYRACUSE
710,Henry IV,24,2.1.58,"clerks, I'll give thee this neck.",BUCKINGHAM
711,Henry IV,25,2.1.59,"No, I'll none of it: I pray thee keep that for the",DIANA
712,Henry IV,25,2.1.60,"hangman, for I know thou worshippest St. Nicholas",PAULINA
713,Henry IV,25,2.1.61,as truly as a man of falsehood may.,HELENA
714,Henry IV,26,2.1.62,"What talkest thou to me of the hangman? if I hang,",Host
715,Henry IV,26,2.1.63,"I'll make a fat pair of gallows, for if I hang, old",BENEDICK
716,Henry IV,26,2.1.64,"Sir John hangs with me, and thou knowest he is no",MACBETH
717,Henry IV,26,2.1.65,starveling. Tut! there are other Trojans that thou,LOVELL
718,Henry IV,26,2.1.66,"dreamest not of, the which for sport sake are",SEBASTIAN
719,Henry IV,26,2.1.67,"content to do the profession some grace, that would,",DOLABELLA
720,Henry IV,26,2.1.68,"if matters should be looked into, for their own",TROILUS
721,Henry IV,26,2.1.69,"credit sake, make all whole. I am joined with no",Second Herald
722,Henry IV,26,2.1.70,"foot-land rakers, no long-staff sixpenny strikers,",BORACHIO
723,Henry IV,26,2.1.71,"none of these mad mustachio purple-hued malt-worms,",ROSALIND
724,Henry IV,26,2.1.72,"but with nobility and tranquillity, burgomasters and",Host
725,Henry IV,26,2.1.73,"great oneyers, such as can hold in, such as will",KING HENRY VI
726,Henry IV,26,2.1.74,"strike sooner than speak, and speak sooner than",GUIDERIUS
727,Henry IV,26,2.1.75,"drink, and drink sooner than pray: and yet, zounds,",Soldier
728,Henry IV,26,2.1.76,"I lie, for they pray continually to their saint, the",TRANIO
729,Henry IV,26,2.1.77,"commonwealth, or rather, not pray to her, but prey",SHYLOCK
730,Henry IV,26,2.1.78,"on her, for they ride up and down on her and make",VIRGILIA
731,Henry IV,26,2.1.79,her their boots.,LADY PERCY
732,Henry IV,27,2.1.80,"What, the commonwealth their boots? will she hold",LUCIO
733,Henry IV,27,2.1.81,out water in foul way?,NYM
734,Henry IV,28,2.1.82,"She will, she will, justice hath liquored her. We",Second Citizen
735,Henry IV,28,2.1.83,"steal as in a castle, cocksure, we have the receipt",TALBOT
736,Henry IV,28,2.1.84,"of fern-seed, we walk invisible.",PORTIA
737,Henry IV,29,2.1.85,"Nay, by my faith, I think you are more beholding to",BERTRAM
738,Henry IV,29,2.1.86,the night than to fern-seed for your walking invisible.,LUCENTIO
739,Henry IV,30,2.1.87,Give me thy hand: thou shalt have a share in our,LYSANDER
740,Henry IV,30,2.1.88,"purchase, as I am a true man.",CASSIO
741,Henry IV,31,2.1.89,"Nay, rather let me have it, as you are a false thief.",GLOUCESTER
742,Henry IV,32,2.1.90,"Go to, 'homo' is a common name to all men. Bid the",BRUTUS
743,Henry IV,32,2.1.91,"ostler bring my gelding out of the stable. Farewell,",PETRUCHIO
744,Henry IV,32,2.1.92,you muddy knave.,ROSALIND
745,Henry IV,32,,Exeunt,STEPHANO
746,Henry IV,32,,"SCENE II. The highway, near Gadshill.",KING JOHN
747,Henry IV,32,,Enter PRINCE HENRY and POINS,KING EDWARD IV
748,Henry IV,1,2.2.1,"Come, shelter, shelter: I have removed Falstaff's",EARL OF WORCESTER
749,Henry IV,1,2.2.2,"horse, and he frets like a gummed velvet.",ARIEL
750,Henry IV,2,2.2.3,Stand close.,GLOUCESTER
751,Henry IV,2,,Enter FALSTAFF,First Servant
752,Henry IV,3,2.2.4,"Poins! Poins, and be hanged! Poins!",CLEOPATRA
753,Henry IV,4,2.2.5,"Peace, ye fat-kidneyed rascal! what a brawling dost",CORIOLANUS
754,Henry IV,4,2.2.6,thou keep!,CAESAR
755,Henry IV,5,2.2.7,"Where's Poins, Hal?",SICINIUS
756,Henry IV,6,2.2.8,He is walked up to the top of the hill: I'll go seek him.,FALSTAFF
757,Henry IV,7,2.2.9,I am accursed to rob in that thief's company: the,MOROCCO
758,Henry IV,7,2.2.10,"rascal hath removed my horse, and tied him I know",DROMIO OF SYRACUSE
759,Henry IV,7,2.2.11,not where. If I travel but four foot by the squier,LYCHORIDA
760,Henry IV,7,2.2.12,"further afoot, I shall break my wind. Well, I doubt",CARDINAL PANDULPH
761,Henry IV,7,2.2.13,"not but to die a fair death for all this, if I",BRUTUS
762,Henry IV,7,2.2.14,'scape hanging for killing that rogue. I have,ROSS
763,Henry IV,7,2.2.15,forsworn his company hourly any time this two and,ROSALIND
764,Henry IV,7,2.2.16,"twenty years, and yet I am bewitched with the",MARCUS ANDRONICUS
765,Henry IV,7,2.2.17,rogue's company. If the rascal hath not given me,YOUNG SIWARD
766,Henry IV,7,2.2.18,"medicines to make me love him, I'll be hanged, it",DIANA
767,Henry IV,7,2.2.19,could not be else: I have drunk medicines. Poins!,RICHMOND
768,Henry IV,7,2.2.20,Hal! a plague upon you both! Bardolph! Peto!,ROSALIND
769,Henry IV,7,2.2.21,I'll starve ere I'll rob a foot further. An 'twere,AUFIDIUS
770,Henry IV,7,2.2.22,"not as good a deed as drink, to turn true man and to",VIOLA
771,Henry IV,7,2.2.23,"leave these rogues, I am the veriest varlet that",Clown
772,Henry IV,7,2.2.24,ever chewed with a tooth. Eight yards of uneven,PETRUCHIO
773,Henry IV,7,2.2.25,"ground is threescore and ten miles afoot with me,",LORD POLONIUS
774,Henry IV,7,2.2.26,and the stony-hearted villains know it well enough:,TROILUS
775,Henry IV,7,2.2.27,a plague upon it when thieves cannot be true one to another!,Soothsayer
776,Henry IV,7,,They whistle,HAMLET
777,Henry IV,7,2.2.28,"Whew! A plague upon you all! Give me my horse, you",TIMON
778,Henry IV,7,2.2.29,"rogues, give me my horse, and be hanged!",PRINCE HENRY
779,Henry IV,8,2.2.30,"Peace, ye fat-guts! lie down, lay thine ear close",KING CLAUDIUS
780,Henry IV,8,2.2.31,to the ground and list if thou canst hear the tread,ALCIBIADES
781,Henry IV,8,2.2.32,of travellers.,First Ambassador
782,Henry IV,9,2.2.33,"Have you any levers to lift me up again, being down?",ADAM
783,Henry IV,9,2.2.34,"'Sblood, I'll not bear mine own flesh so far afoot",TRANIO
784,Henry IV,9,2.2.35,again for all the coin in thy father's exchequer.,COUNTESS
785,Henry IV,9,2.2.36,What a plague mean ye to colt me thus?,PLANTAGENET
786,Henry IV,10,2.2.37,"Thou liest, thou art not colted, thou art uncolted.",GONERIL
787,Henry IV,11,2.2.38,"I prithee, good Prince Hal, help me to my horse,",GRIFFITH
788,Henry IV,11,2.2.39,good king's son.,KING RICHARD II
789,Henry IV,12,2.2.40,"Out, ye rogue! shall I be your ostler?",CRANMER
790,Henry IV,13,2.2.41,"Go, hang thyself in thine own heir-apparent",QUEEN ELIZABETH
791,Henry IV,13,2.2.42,"garters! If I be ta'en, I'll peach for this. An I",DERBY
792,Henry IV,13,2.2.43,have not ballads made on you all and sung to filthy,APEMANTUS
793,Henry IV,13,2.2.44,"tunes, let a cup of sack be my poison: when a jest",MISTRESS QUICKLY
794,Henry IV,13,2.2.45,"is so forward, and afoot too! I hate it.",CASSIUS
795,Henry IV,13,,"Enter GADSHILL, BARDOLPH and PETO",CLOTEN
796,Henry IV,14,2.2.46,Stand.,CORIOLANUS
797,Henry IV,15,2.2.47,"So I do, against my will.",DOCTOR CAIUS
798,Henry IV,16,2.2.48,"O, 'tis our setter: I know his voice. Bardolph,",OLIVIA
799,Henry IV,16,2.2.49,what news?,CHARMIAN
800,Henry IV,17,2.2.50,"Case ye, case ye, on with your vizards: there 's",QUEEN KATHARINE
801,Henry IV,17,2.2.51,"money of the king's coming down the hill, 'tis going",LUCULLUS
802,Henry IV,17,2.2.52,to the king's exchequer.,SIR TOBY BELCH
803,Henry IV,18,2.2.53,"You lie, ye rogue, 'tis going to the king's tavern.",LADY MACBETH
804,Henry IV,19,2.2.54,There's enough to make us all.,Third Servingman
805,Henry IV,20,2.2.55,To be hanged.,IAGO
806,Henry IV,21,2.2.56,"Sirs, you four shall front them in the narrow lane,",CAMILLO
807,Henry IV,21,2.2.57,Ned Poins and I will walk lower: if they 'scape,PRINCE HENRY
808,Henry IV,21,2.2.58,"from your encounter, then they light on us.",HENRY BOLINGBROKE
809,Henry IV,22,2.2.59,How many be there of them?,HAMLET
810,Henry IV,23,2.2.60,Some eight or ten.,MARK ANTONY
811,Henry IV,24,2.2.61,"'Zounds, will they not rob us?",QUEEN KATHARINE
812,Henry IV,25,2.2.62,"What, a coward, Sir John Paunch?",LORD POLONIUS
813,Henry IV,26,2.2.63,"Indeed, I am not John of Gaunt, your grandfather,",Messenger
814,Henry IV,26,2.2.64,"but yet no coward, Hal.",CLOTEN
815,Henry IV,27,2.2.65,"Well, we leave that to the proof.",KING LEAR
816,Henry IV,28,2.2.66,"Sirrah Jack, thy horse stands behind the hedge:",LUCIUS
817,Henry IV,28,2.2.67,"when thou needest him, there thou shalt find him.",JULIET
818,Henry IV,28,2.2.68,"Farewell, and stand fast.",BURGUNDY
819,Henry IV,29,2.2.69,"Now cannot I strike him, if I should be hanged.",HERMIA
820,Henry IV,30,2.2.70,"Ned, where are our disguises?",QUEEN
821,Henry IV,31,2.2.71,"Here, hard by: stand close.",GLOUCESTER
822,Henry IV,31,,Exeunt PRINCE HENRY and POINS,KING HENRY V
823,Henry IV,32,2.2.72,"Now, my masters, happy man be his dole, say I:",DUKE VINCENTIO
824,Henry IV,32,2.2.73,every man to his business.,KING LEAR
825,Henry IV,32,,Enter the Travellers,CLAUDIO
826,Henry IV,33,2.2.74,"Come, neighbour: the boy shall lead our horses down",PROTEUS
827,Henry IV,33,2.2.75,"the hill, we'll walk afoot awhile, and ease our legs.",DUKE
828,Henry IV,34,2.2.76,Stand!,GONERIL
829,Henry IV,35,2.2.77,Jesus bless us!,SICINIUS
830,Henry IV,36,2.2.78,"Strike, down with them, cut the villains' throats:",CHARMIAN
831,Henry IV,36,2.2.79,ah! whoreson caterpillars! bacon-fed knaves! they,KATHARINE
832,Henry IV,36,2.2.80,hate us youth: down with them: fleece them.,OTHELLO
833,Henry IV,37,2.2.81,"O, we are undone, both we and ours for ever!",SUFFOLK
834,Henry IV,38,2.2.82,"Hang ye, gorbellied knaves, are ye undone? No, ye",DUCHESS
835,Henry IV,38,2.2.83,"fat chuffs: I would your store were here! On,",MARCUS ANDRONICUS
836,Henry IV,38,2.2.84,"bacons, on! What, ye knaves! young men must live.",EDMUND
837,Henry IV,38,2.2.85,"You are Grand-jurors, are ye? we'll jure ye, 'faith.",BASTARD
838,Henry IV,38,,Here they rob them and bind them. Exeunt,VIRGILIA
839,Henry IV,38,,Re-enter PRINCE HENRY and POINS,DROMIO OF EPHESUS
840,Henry IV,39,2.2.86,The thieves have bound the true men. Now could thou,QUEEN ISABEL
841,Henry IV,39,2.2.87,"and I rob the thieves and go merrily to London, it",LAERTES
842,Henry IV,39,2.2.88,"would be argument for a week, laughter for a month",AGRIPPA
843,Henry IV,39,2.2.89,and a good jest for ever.,CLOTEN
844,Henry IV,40,2.2.90,"Stand close, I hear them coming.",CASSIO
845,Henry IV,40,,Enter the Thieves again,COSTARD
846,Henry IV,41,2.2.91,"Come, my masters, let us share, and then to  horse",FORD
847,Henry IV,41,2.2.92,before day. An the Prince and Poins be not two,FLAMINIUS
848,Henry IV,41,2.2.93,"arrant cowards, there's no equity stirring: there's",Hostess
849,Henry IV,41,2.2.94,no more valour in that Poins than in a wild-duck.,GLOUCESTER
850,Henry IV,42,2.2.95,Your money!,YORK
851,Henry IV,43,2.2.96,Villains!,KING
852,Henry IV,43,2.2.96,"As they are sharing, the Prince and Poins set upon  them, they all run away, and Falstaff, after a blow or two, runs away too, leaving the booty behind them",HOLOFERNES
853,Henry IV,44,2.2.97,Got with much ease. Now merrily to horse:,SALISBURY
854,Henry IV,44,2.2.98,The thieves are all scatter'd and possess'd with fear,OCTAVIA
855,Henry IV,44,2.2.99,"So strongly that they dare not meet each other,",Second Gentleman
856,Henry IV,44,2.2.100,Each takes his fellow for an officer.,LORD POLONIUS
857,Henry IV,44,2.2.101,"Away, good Ned. Falstaff sweats to death,",HELENA
858,Henry IV,44,2.2.102,And lards the lean earth as he walks along:,MARIA
859,Henry IV,44,2.2.103,"Were 't not for laughing, I should pity him.",ANNE
860,Henry IV,45,2.2.104,How the rogue roar'd!,Third Outlaw
861,Henry IV,45,,Exeunt,Clown
862,Henry IV,45,,SCENE III. Warkworth castle,LUCIUS
863,Henry IV,45,,"Enter HOTSPUR, solus, reading a letter",CORNWALL
864,Henry IV,1,2.3.1,"'But for mine own part, my lord, I could be well",IMOGEN
865,Henry IV,1,2.3.2,"contented to be there, in respect of the love I bear",OTHELLO
866,Henry IV,1,2.3.3,"your house.' He could be contented: why is he not,",LEWIS
867,Henry IV,1,2.3.4,then? In respect of the love he bears our house:,FALSTAFF
868,Henry IV,1,2.3.5,"he shows in this, he loves his own barn better than",GONERIL
869,Henry IV,1,2.3.6,he loves our house. Let me see some more. 'The,TROILUS
870,Henry IV,1,2.3.7,"purpose you undertake is dangerous,'--why, that's",ANGELO
871,Henry IV,1,2.3.8,"certain: 'tis dangerous to take a cold, to sleep, to",HERMIONE
872,Henry IV,1,2.3.9,"drink, but I tell you, my lord fool, out of this",CLOTEN
873,Henry IV,1,2.3.10,"nettle, danger, we pluck this flower, safety. 'The",MACBETH
874,Henry IV,1,2.3.11,"purpose you undertake is dangerous, the friends you",CHARLES
875,Henry IV,1,2.3.12,"have named uncertain, the time itself unsorted, and",BRABANTIO
876,Henry IV,1,2.3.13,your whole plot too light for the counterpoise of so,ROMEO
877,Henry IV,1,2.3.14,"great an opposition.' Say you so, say you so? I say",BRUTUS
878,Henry IV,1,2.3.15,"unto you again, you are a shallow cowardly hind, and",First Gentleman
879,Henry IV,1,2.3.16,"you lie.  What a lack-brain is this! By the Lord,",FALSTAFF
880,Henry IV,1,2.3.17,"our plot is a good plot as ever was laid, our",BOULT
881,Henry IV,1,2.3.18,"friends true and constant: a good plot, good",CARDINAL
882,Henry IV,1,2.3.19,"friends, and full of expectation, an excellent plot,",BAPTISTA
883,Henry IV,1,2.3.20,very good friends. What a frosty-spirited rogue is,CORIOLANUS
884,Henry IV,1,2.3.21,"this! Why, my lord of York commends the plot and the",CAPULET
885,Henry IV,1,2.3.22,"general course of action. 'Zounds, an I were now by",OBERON
886,Henry IV,1,2.3.23,"this rascal, I could brain him with his lady's fan.",SHALLOW
887,Henry IV,1,2.3.24,"Is there not my father, my uncle and myself? lord",HAMLET
888,Henry IV,1,2.3.25,"Edmund Mortimer, My lord of York and Owen Glendower?",MARIA
889,Henry IV,1,2.3.26,is there not besides the Douglas? have I not all,ISABELLA
890,Henry IV,1,2.3.27,their letters to meet me in arms by the ninth of the,BASTARD
891,Henry IV,1,2.3.28,next month? and are they not some of them set,CORDELIA
892,Henry IV,1,2.3.29,forward already? What a pagan rascal is this! an,CARDINAL PANDULPH
893,Henry IV,1,2.3.30,infidel! Ha! you shall see now in very sincerity,DUKE SENIOR
894,Henry IV,1,2.3.31,"of fear and cold heart, will he to the king and lay",First Citizen
895,Henry IV,1,2.3.32,"open all our proceedings. O, I could divide myself",NYM
896,Henry IV,1,2.3.33,"and go to buffets, for moving such a dish of",Fool
897,Henry IV,1,2.3.34,skim milk with so honourable an action! Hang him!,Servant
898,Henry IV,1,2.3.35,let him tell the king: we are prepared. I will set,MARINA
899,Henry IV,1,2.3.36,forward to-night.,PERICLES
900,Henry IV,1,,Enter LADY PERCY,KING LEAR
901,Henry IV,1,2.3.37,"How now, Kate! I must leave you within these two hours.",FALSTAFF
902,Henry IV,2,2.3.38,"O, my good lord, why are you thus alone?",DOMITIUS ENOBARBUS
903,Henry IV,2,2.3.39,For what offence have I this fortnight been,ROSALIND
904,Henry IV,2,2.3.40,A banish'd woman from my Harry's bed?,PORTIA
905,Henry IV,2,2.3.41,"Tell me, sweet lord, what is't that takes from thee",HERMIA
906,Henry IV,2,2.3.42,"Thy stomach, pleasure and thy golden sleep?",ANTONY
907,Henry IV,2,2.3.43,"Why dost thou bend thine eyes upon the earth,",FALSTAFF
908,Henry IV,2,2.3.44,And start so often when thou sit'st alone?,KING RICHARD II
909,Henry IV,2,2.3.45,"Why hast thou lost the fresh blood in thy cheeks,",QUEEN
910,Henry IV,2,2.3.46,And given my treasures and my rights of thee,CORNWALL
911,Henry IV,2,2.3.47,To thick-eyed musing and cursed melancholy?,FRIAR PETER
912,Henry IV,2,2.3.48,"In thy faint slumbers I by thee have watch'd,",TAMORA
913,Henry IV,2,2.3.49,"And heard thee murmur tales of iron wars,",SALISBURY
914,Henry IV,2,2.3.50,"Speak terms of manage to thy bounding steed,",ANTONY
915,Henry IV,2,2.3.51,Cry 'Courage! to the field!' And thou hast talk'd,LADY ANNE
916,Henry IV,2,2.3.52,"Of sallies and retires, of trenches, tents,",PLANTAGENET
917,Henry IV,2,2.3.53,"Of palisadoes, frontiers, parapets,",LORENZO
918,Henry IV,2,2.3.54,"Of basilisks, of cannon, culverin,",PETRUCHIO
919,Henry IV,2,2.3.55,"Of prisoners' ransom and of soldiers slain,",BENEDICK
920,Henry IV,2,2.3.56,And all the currents of a heady fight.,MACBETH
921,Henry IV,2,2.3.57,Thy spirit within thee hath been so at war,FLUELLEN
922,Henry IV,2,2.3.58,"And thus hath so bestirr'd thee in thy sleep,",KING PHILIP
923,Henry IV,2,2.3.59,That beads of sweat have stood upon thy brow,QUEEN MARGARET
924,Henry IV,2,2.3.60,"Like bubbles in a late-disturbed stream,",All
925,Henry IV,2,2.3.61,"And in thy face strange motions have appear'd,",GREMIO
926,Henry IV,2,2.3.62,Such as we see when men restrain their breath,ALBANY
927,Henry IV,2,2.3.63,"On some great sudden hest. O, what portents are these?",KING LEAR
928,Henry IV,2,2.3.64,"Some heavy business hath my lord in hand,",Pyramus
929,Henry IV,2,2.3.65,"And I must know it, else he loves me not.",MARCUS ANDRONICUS
930,Henry IV,3,2.3.66,"What, ho!",CORIOLANUS
931,Henry IV,3,,Enter Servant,GUIDERIUS
932,Henry IV,3,2.3.67,Is Gilliams with the packet gone?,CORIN
933,Henry IV,4,2.3.68,"He is, my lord, an hour ago.",OSWALD
934,Henry IV,5,2.3.69,Hath Butler brought those horses from the sheriff?,KING CLAUDIUS
935,Henry IV,6,2.3.70,"One horse, my lord, he brought even now.",Clown
936,Henry IV,7,2.3.71,"What horse? a roan, a crop-ear, is it not?",Sergeant
937,Henry IV,8,2.3.72,"It is, my lord.",Second Gentleman
938,Henry IV,9,2.3.73,That roan shall by my throne.,AARON
939,Henry IV,9,2.3.74,"Well, I will back him straight: O esperance!",IAGO
940,Henry IV,9,2.3.75,Bid Butler lead him forth into the park.,SICINIUS
941,Henry IV,9,,Exit Servant,CADE
942,Henry IV,10,2.3.76,"But hear you, my lord.",BAPTISTA
943,Henry IV,11,2.3.77,"What say'st thou, my lady?",STEPHANO
944,Henry IV,12,2.3.78,What is it carries you away?,Sheriff
945,Henry IV,13,2.3.79,"Why, my horse, my love, my horse.",Jeweller
946,Henry IV,14,2.3.80,"Out, you mad-headed ape!",SPEED
947,Henry IV,14,2.3.81,A weasel hath not such a deal of spleen,Messenger
948,Henry IV,14,2.3.82,"As you are toss'd with. In faith,",AUTOLYCUS
949,Henry IV,14,2.3.83,"I'll know your business, Harry, that I will.",ULYSSES
950,Henry IV,14,2.3.84,I fear my brother Mortimer doth stir,TIMON
951,Henry IV,14,2.3.85,"About his title, and hath sent for you",IAGO
952,Henry IV,14,2.3.86,"To line his enterprise: but if you go,--",POMPEY
