Dataline,Play,PlayerLinenumber,ActSceneLine,PlayerLine
420,Henry IV,8,1.3.92,Whose tongue shall ask me for one penny cost
421,Henry IV,8,1.3.93,To ransom home revolted Mortimer.
422,Henry IV,9,1.3.94,Revolted Mortimer!
423,Henry IV,9,1.3.95,"He never did fall off, my sovereign liege,"
424,Henry IV,9,1.3.96,"But by the chance of war, to prove that true"
425,Henry IV,9,1.3.97,"Needs no more but one tongue for all those wounds,"
426,Henry IV,9,1.3.98,"Those mouthed wounds, which valiantly he took"
427,Henry IV,9,1.3.99,"When on the gentle Severn's sedgy bank,"
428,Henry IV,9,1.3.100,"In single opposition, hand to hand,"
429,Henry IV,9,1.3.101,He did confound the best part of an hour
430,Henry IV,9,1.3.102,In changing hardiment with great Glendower:
431,Henry IV,9,1.3.103,Three times they breathed and three times did
432,Henry IV,9,1.3.104,"they drink,"
433,Henry IV,9,1.3.105,"Upon agreement, of swift Severn's flood,"
434,Henry IV,9,1.3.106,"Who then, affrighted with their bloody looks,"
435,Henry IV,9,1.3.107,"Ran fearfully among the trembling reeds,"
436,Henry IV,9,1.3.108,"And hid his crisp head in the hollow bank,"
437,Henry IV,9,1.3.109,Bloodstained with these valiant combatants.
438,Henry IV,9,1.3.110,Never did base and rotten policy
439,Henry IV,9,1.3.111,"Colour her working with such deadly wounds,"
440,Henry IV,9,1.3.112,Nor could the noble Mortimer
441,Henry IV,9,1.3.113,"Receive so many, and all willingly:"
442,Henry IV,9,1.3.114,Then let not him be slander'd with revolt.
443,Henry IV,10,1.3.115,"Thou dost belie him, Percy, thou dost belie him,"
444,Henry IV,10,1.3.116,He never did encounter with Glendower:
445,Henry IV,10,1.3.117,"I tell thee,"
446,Henry IV,10,1.3.118,He durst as well have met the devil alone
447,Henry IV,10,1.3.119,As Owen Glendower for an enemy.
448,Henry IV,10,1.3.120,"Art thou not ashamed? But, sirrah, henceforth"
449,Henry IV,10,1.3.121,Let me not hear you speak of Mortimer:
450,Henry IV,10,1.3.122,"Send me your prisoners with the speediest means,"
451,Henry IV,10,1.3.123,Or you shall hear in such a kind from me
452,Henry IV,10,1.3.124,"As will displease you. My Lord Northumberland,"
453,Henry IV,10,1.3.125,We licence your departure with your son.
454,Henry IV,10,1.3.126,"Send us your prisoners, or you will hear of it."
455,Henry IV,10,,"Exeunt King Henry, Blunt, and train"
456,Henry IV,11,1.3.127,"An if the devil come and roar for them,"
457,Henry IV,11,1.3.128,I will not send them: I will after straight
458,Henry IV,11,1.3.129,"And tell him so, for I will ease my heart,"
459,Henry IV,11,1.3.130,Albeit I make a hazard of my head.
460,Henry IV,12,1.3.131,"What, drunk with choler? stay and pause awhile:"
461,Henry IV,12,1.3.132,Here comes your uncle.
462,Henry IV,12,,Re-enter WORCESTER
463,Henry IV,13,1.3.133,Speak of Mortimer!
464,Henry IV,13,1.3.134,"'Zounds, I will speak of him, and let my soul"
465,Henry IV,13,1.3.135,"Want mercy, if I do not join with him:"
466,Henry IV,13,1.3.136,"Yea, on his part I'll empty all these veins,"
467,Henry IV,13,1.3.137,"And shed my dear blood drop by drop in the dust,"
468,Henry IV,13,1.3.138,But I will lift the down-trod Mortimer
469,Henry IV,13,1.3.139,"As high in the air as this unthankful king,"
470,Henry IV,13,1.3.140,As this ingrate and canker'd Bolingbroke.
471,Henry IV,14,1.3.141,"Brother, the king hath made your nephew mad."
472,Henry IV,15,1.3.142,Who struck this heat up after I was gone?
473,Henry IV,16,1.3.143,"He will, forsooth, have all my prisoners,"
474,Henry IV,16,1.3.144,And when I urged the ransom once again
475,Henry IV,16,1.3.145,"Of my wife's brother, then his cheek look'd pale,"
476,Henry IV,16,1.3.146,"And on my face he turn'd an eye of death,"
477,Henry IV,16,1.3.147,Trembling even at the name of Mortimer.
478,Henry IV,17,1.3.148,I cannot blame him: was not he proclaim'd
479,Henry IV,17,1.3.149,By Richard that dead is the next of blood?
480,Henry IV,18,1.3.150,"He was, I heard the proclamation:"
481,Henry IV,18,1.3.151,"And then it was when the unhappy king,"
482,Henry IV,18,1.3.152,--Whose wrongs in us God pardon!--did set forth
483,Henry IV,18,1.3.153,"Upon his Irish expedition,"
484,Henry IV,18,1.3.154,From whence he intercepted did return
485,Henry IV,18,1.3.155,To be deposed and shortly murdered.
486,Henry IV,19,1.3.156,And for whose death we in the world's wide mouth
487,Henry IV,19,1.3.157,Live scandalized and foully spoken of.
488,Henry IV,20,1.3.158,"But soft, I pray you, did King Richard then"
489,Henry IV,20,1.3.159,Proclaim my brother Edmund Mortimer
490,Henry IV,20,1.3.160,Heir to the crown?
491,Henry IV,21,1.3.161,"He did, myself did hear it."
492,Henry IV,22,1.3.162,"Nay, then I cannot blame his cousin king,"
493,Henry IV,22,1.3.163,That wished him on the barren mountains starve.
494,Henry IV,22,1.3.164,"But shall it be that you, that set the crown"
495,Henry IV,22,1.3.165,Upon the head of this forgetful man
496,Henry IV,22,1.3.166,And for his sake wear the detested blot
497,Henry IV,22,1.3.167,"Of murderous subornation, shall it be,"
498,Henry IV,22,1.3.168,"That you a world of curses undergo,"
499,Henry IV,22,1.3.169,"Being the agents, or base second means,"
500,Henry IV,22,1.3.170,"The cords, the ladder, or the hangman rather?"
501,Henry IV,22,1.3.171,"O, pardon me that I descend so low,"
502,Henry IV,22,1.3.172,To show the line and the predicament
503,Henry IV,22,1.3.173,"Wherein you range under this subtle king,"
504,Henry IV,22,1.3.174,"Shall it for shame be spoken in these days,"
505,Henry IV,22,1.3.175,"Or fill up chronicles in time to come,"
506,Henry IV,22,1.3.176,That men of your nobility and power
507,Henry IV,22,1.3.177,"Did gage them both in an unjust behalf,"
508,Henry IV,22,1.3.178,"As both of you--God pardon it!--have done,"
509,Henry IV,22,1.3.179,"To put down Richard, that sweet lovely rose,"
510,Henry IV,22,1.3.180,"An plant this thorn, this canker, Bolingbroke?"
511,Henry IV,22,1.3.181,"And shall it in more shame be further spoken,"
512,Henry IV,22,1.3.182,"That you are fool'd, discarded and shook off"
513,Henry IV,22,1.3.183,By him for whom these shames ye underwent?
514,Henry IV,22,1.3.184,"No, yet time serves wherein you may redeem"
515,Henry IV,22,1.3.185,Your banish'd honours and restore yourselves
516,Henry IV,22,1.3.186,"Into the good thoughts of the world again,"
517,Henry IV,22,1.3.187,Revenge the jeering and disdain'd contempt
518,Henry IV,22,1.3.188,"Of this proud king, who studies day and night"
519,Henry IV,22,1.3.189,To answer all the debt he owes to you
520,Henry IV,22,1.3.190,Even with the bloody payment of your deaths:
521,Henry IV,22,1.3.191,"Therefore, I say--"
522,Henry IV,23,1.3.192,"Peace, cousin, say no more:"
523,Henry IV,23,1.3.193,"And now I will unclasp a secret book,"
524,Henry IV,23,1.3.194,And to your quick-conceiving discontents
525,Henry IV,23,1.3.195,"I'll read you matter deep and dangerous,"
526,Henry IV,23,1.3.196,As full of peril and adventurous spirit
527,Henry IV,23,1.3.197,As to o'er-walk a current roaring loud
528,Henry IV,23,1.3.198,On the unsteadfast footing of a spear.
529,Henry IV,24,1.3.199,"If he fall in, good night! or sink or swim:"
530,Henry IV,24,1.3.200,"Send danger from the east unto the west,"
531,Henry IV,24,1.3.201,"So honour cross it from the north to south,"
532,Henry IV,24,1.3.202,"And let them grapple: O, the blood more stirs"
533,Henry IV,24,1.3.203,To rouse a lion than to start a hare!
534,Henry IV,25,1.3.204,Imagination of some great exploit
535,Henry IV,25,1.3.205,Drives him beyond the bounds of patience.
536,Henry IV,26,1.3.206,"By heaven, methinks it were an easy leap,"
537,Henry IV,26,1.3.207,"To pluck bright honour from the pale-faced moon,"
538,Henry IV,26,1.3.208,"Or dive into the bottom of the deep,"
539,Henry IV,26,1.3.209,"Where fathom-line could never touch the ground,"
540,Henry IV,26,1.3.210,"And pluck up drowned honour by the locks,"
541,Henry IV,26,1.3.211,So he that doth redeem her thence might wear
542,Henry IV,26,1.3.212,"Without corrival, all her dignities:"
543,Henry IV,26,1.3.213,But out upon this half-faced fellowship!
544,Henry IV,27,1.3.214,"He apprehends a world of figures here,"
545,Henry IV,27,1.3.215,But not the form of what he should attend.
546,Henry IV,27,1.3.216,"Good cousin, give me audience for a while."
547,Henry IV,28,1.3.217,I cry you mercy.
548,Henry IV,29,1.3.218,Those same noble Scots
549,Henry IV,29,1.3.219,"That are your prisoners,--"
550,Henry IV,30,1.3.220,"I'll keep them all,"
551,Henry IV,30,1.3.221,"By God, he shall not have a Scot of them,"
552,Henry IV,30,1.3.222,"No, if a Scot would save his soul, he shall not:"
553,Henry IV,30,1.3.223,"I'll keep them, by this hand."
554,Henry IV,31,1.3.224,You start away
555,Henry IV,31,1.3.225,And lend no ear unto my purposes.
556,Henry IV,31,1.3.226,Those prisoners you shall keep.
557,Henry IV,32,1.3.227,"Nay, I will, that's flat:"
558,Henry IV,32,1.3.228,"He said he would not ransom Mortimer,"
559,Henry IV,32,1.3.229,"Forbad my tongue to speak of Mortimer,"
560,Henry IV,32,1.3.230,"But I will find him when he lies asleep,"
561,Henry IV,32,1.3.231,And in his ear I'll holla 'Mortimer!'
562,Henry IV,32,1.3.232,"Nay,"
563,Henry IV,32,1.3.233,I'll have a starling shall be taught to speak
564,Henry IV,32,1.3.234,"Nothing but 'Mortimer,' and give it him"
565,Henry IV,32,1.3.235,To keep his anger still in motion.
566,Henry IV,33,1.3.236,"Hear you, cousin, a word."
567,Henry IV,34,1.3.237,"All studies here I solemnly defy,"
568,Henry IV,34,1.3.238,Save how to gall and pinch this Bolingbroke:
569,Henry IV,34,1.3.239,"And that same sword-and-buckler Prince of Wales,"
570,Henry IV,34,1.3.240,But that I think his father loves him not
571,Henry IV,34,1.3.241,"And would be glad he met with some mischance,"
572,Henry IV,34,1.3.242,I would have him poison'd with a pot of ale.
573,Henry IV,35,1.3.243,"Farewell, kinsman: I'll talk to you"
574,Henry IV,35,1.3.244,When you are better temper'd to attend.
575,Henry IV,36,1.3.245,"Why, what a wasp-stung and impatient fool"
576,Henry IV,36,1.3.246,"Art thou to break into this woman's mood,"
577,Henry IV,36,1.3.247,Tying thine ear to no tongue but thine own!
578,Henry IV,37,1.3.248,"Why, look you, I am whipp'd and scourged with rods,"
579,Henry IV,37,1.3.249,"Nettled and stung with pismires, when I hear"
580,Henry IV,37,1.3.250,"Of this vile politician, Bolingbroke."
581,Henry IV,37,1.3.251,"In Richard's time,--what do you call the place?--"
582,Henry IV,37,1.3.252,"A plague upon it, it is in Gloucestershire,"
583,Henry IV,37,1.3.253,"'Twas where the madcap duke his uncle kept,"
584,Henry IV,37,1.3.254,"His uncle York, where I first bow'd my knee"
585,Henry IV,37,1.3.255,"Unto this king of smiles, this Bolingbroke,--"
586,Henry IV,37,1.3.256,'Sblood!--
587,Henry IV,37,1.3.257,When you and he came back from Ravenspurgh.
588,Henry IV,38,1.3.258,At Berkley castle.
589,Henry IV,39,1.3.259,You say true:
590,Henry IV,39,1.3.260,"Why, what a candy deal of courtesy"
591,Henry IV,39,1.3.261,This fawning greyhound then did proffer me!
592,Henry IV,39,1.3.262,"Look,'when his infant fortune came to age,'"
593,Henry IV,39,1.3.263,"And 'gentle Harry Percy,' and 'kind cousin,'"
594,Henry IV,39,1.3.264,"O, the devil take such cozeners! God forgive me!"
595,Henry IV,39,1.3.265,"Good uncle, tell your tale, I have done."
596,Henry IV,40,1.3.266,"Nay, if you have not, to it again,"
597,Henry IV,40,1.3.267,We will stay your leisure.
598,Henry IV,41,1.3.268,"I have done, i' faith."
599,Henry IV,42,1.3.269,Then once more to your Scottish prisoners.
600,Henry IV,42,1.3.270,"Deliver them up without their ransom straight,"
601,Henry IV,42,1.3.271,And make the Douglas' son your only mean
602,Henry IV,42,1.3.272,"For powers in Scotland, which, for divers reasons"
603,Henry IV,42,1.3.273,"Which I shall send you written, be assured,"
604,Henry IV,42,1.3.274,"Will easily be granted. You, my lord,"
605,Henry IV,42,,To Northumberland
606,Henry IV,42,1.3.275,"Your son in Scotland being thus employ'd,"
607,Henry IV,42,1.3.276,Shall secretly into the bosom creep
608,Henry IV,42,1.3.277,"Of that same noble prelate, well beloved,"
609,Henry IV,42,1.3.278,The archbishop.
610,Henry IV,43,1.3.279,"Of York, is it not?"
611,Henry IV,44,1.3.280,"True, who bears hard"
612,Henry IV,44,1.3.281,"His brother's death at Bristol, the Lord Scroop."
613,Henry IV,44,1.3.282,"I speak not this in estimation,"
614,Henry IV,44,1.3.283,"As what I think might be, but what I know"
615,Henry IV,44,1.3.284,"Is ruminated, plotted and set down,"
616,Henry IV,44,1.3.285,And only stays but to behold the face
617,Henry IV,44,1.3.286,Of that occasion that shall bring it on.
618,Henry IV,45,1.3.287,"I smell it: upon my life, it will do well."
619,Henry IV,46,1.3.288,"Before the game is afoot, thou still let'st slip."
620,Henry IV,47,1.3.289,"Why, it cannot choose but be a noble plot,"
621,Henry IV,47,1.3.290,"And then the power of Scotland and of York,"
622,Henry IV,47,1.3.291,"To join with Mortimer, ha?"
623,Henry IV,48,1.3.292,And so they shall.
624,Henry IV,49,1.3.293,"In faith, it is exceedingly well aim'd."
625,Henry IV,50,1.3.294,"And 'tis no little reason bids us speed,"
626,Henry IV,50,1.3.295,"To save our heads by raising of a head,"
627,Henry IV,50,1.3.296,"For, bear ourselves as even as we can,"
628,Henry IV,50,1.3.297,"The king will always think him in our debt,"
629,Henry IV,50,1.3.298,"And think we think ourselves unsatisfied,"
630,Henry IV,50,1.3.299,Till he hath found a time to pay us home:
631,Henry IV,50,1.3.300,And see already how he doth begin
632,Henry IV,50,1.3.301,To make us strangers to his looks of love.
633,Henry IV,51,1.3.302,"He does, he does: we'll be revenged on him."
634,Henry IV,52,1.3.303,"Cousin, farewell: no further go in this"
635,Henry IV,52,1.3.304,Than I by letters shall direct your course.
636,Henry IV,52,1.3.305,"When time is ripe, which will be suddenly,"
637,Henry IV,52,1.3.306,"I'll steal to Glendower and Lord Mortimer,"
638,Henry IV,52,1.3.307,"Where you and Douglas and our powers at once,"
639,Henry IV,52,1.3.308,"As I will fashion it, shall happily meet,"
640,Henry IV,52,1.3.309,"To bear our fortunes in our own strong arms,"
641,Henry IV,52,1.3.310,Which now we hold at much uncertainty.
642,Henry IV,53,1.3.311,"Farewell, good brother: we shall thrive, I trust."
643,Henry IV,54,1.3.312,"Uncle, Adieu: O, let the hours be short"
644,Henry IV,54,1.3.313,Till fields and blows and groans applaud our sport!
645,Henry IV,54,,Exeunt
646,Henry IV,54,,ACT II
647,Henry IV,54,,SCENE I. Rochester. An inn yard.
648,Henry IV,54,,Enter a Carrier with a lantern in his hand
649,Henry IV,1,2.1.1,"Heigh-ho! an it be not four by the day, I'll be"
650,Henry IV,1,2.1.2,"hanged: Charles' wain is over the new chimney, and"
651,Henry IV,1,2.1.3,"yet our horse not packed. What, ostler!"
652,Henry IV,2,2.1.4,"[Within]   Anon, anon."
653,Henry IV,3,2.1.5,"I prithee, Tom, beat Cut's saddle, put a few flocks"
654,Henry IV,3,2.1.6,"in the point, poor jade, is wrung in the withers out"
655,Henry IV,3,2.1.7,of all cess.
656,Henry IV,3,,Enter another Carrier
657,Henry IV,4,2.1.8,"Peas and beans are as dank here as a dog, and that"
658,Henry IV,4,2.1.9,is the next way to give poor jades the bots: this
659,Henry IV,4,2.1.10,house is turned upside down since Robin Ostler died.
660,Henry IV,5,2.1.11,"Poor fellow, never joyed since the price of oats"
661,Henry IV,5,2.1.12,"rose, it was the death of him."
662,Henry IV,6,2.1.13,I think this be the most villanous house in all
663,Henry IV,6,2.1.14,London road for fleas: I am stung like a tench.
664,Henry IV,7,2.1.15,"Like a tench! by the mass, there is ne'er a king"
665,Henry IV,7,2.1.16,christen could be better bit than I have been since
666,Henry IV,7,2.1.17,the first cock.
667,Henry IV,8,2.1.18,"Why, they will allow us ne'er a jordan, and then we"
668,Henry IV,8,2.1.19,"leak in your chimney, and your chamber-lie breeds"
669,Henry IV,8,2.1.20,fleas like a loach.
670,Henry IV,9,2.1.21,"What, ostler! come away and be hanged!"
671,Henry IV,10,2.1.22,"I have a gammon of bacon and two razors of ginger,"
672,Henry IV,10,2.1.23,to be delivered as far as Charing-cross.
673,Henry IV,11,2.1.24,God's body! the turkeys in my pannier are quite
674,Henry IV,11,2.1.25,"starved. What, ostler! A plague on thee! hast thou"
675,Henry IV,11,2.1.26,never an eye in thy head? canst not hear? An
676,Henry IV,11,2.1.27,"'twere not as good deed as drink, to break the pate"
677,Henry IV,11,2.1.28,"on thee, I am a very villain. Come, and be hanged!"
678,Henry IV,11,2.1.29,hast thou no faith in thee?
679,Henry IV,11,,Enter GADSHILL
680,Henry IV,12,2.1.30,"Good morrow, carriers. What's o'clock?"
681,Henry IV,13,2.1.31,I think it be two o'clock.
682,Henry IV,14,2.1.32,"I pray thee lend me thy lantern, to see my gelding"
683,Henry IV,14,2.1.33,in the stable.
684,Henry IV,15,2.1.34,"Nay, by God, soft, I know a trick worth two of that, i' faith."
685,Henry IV,16,2.1.35,"I pray thee, lend me thine."
686,Henry IV,17,2.1.36,"Ay, when? can'st tell? Lend me thy lantern, quoth"
687,Henry IV,17,2.1.37,"he? marry, I'll see thee hanged first."
688,Henry IV,18,2.1.38,"Sirrah carrier, what time do you mean to come to London?"
689,Henry IV,19,2.1.39,"Time enough to go to bed with a candle, I warrant"
690,Henry IV,19,2.1.40,"thee. Come, neighbour Mugs, we'll call up the"
691,Henry IV,19,2.1.41,"gentleman: they will along with company, for they"
692,Henry IV,19,2.1.42,have great charge.
693,Henry IV,19,,Exeunt carriers
694,Henry IV,20,2.1.43,"What, ho! chamberlain!"
695,Henry IV,21,2.1.44,"[Within]  At hand, quoth pick-purse."
696,Henry IV,22,2.1.45,"That's even as fair as--at hand, quoth the"
697,Henry IV,22,2.1.46,"chamberlain, for thou variest no more from picking"
698,Henry IV,22,2.1.47,"of purses than giving direction doth from labouring,"
699,Henry IV,22,2.1.48,thou layest the plot how.
700,Henry IV,22,,Enter Chamberlain
701,Henry IV,23,2.1.49,"Good morrow, Master Gadshill. It holds current that"
702,Henry IV,23,2.1.50,I told you yesternight: there's a franklin in the
703,Henry IV,23,2.1.51,wild of Kent hath brought three hundred marks with
704,Henry IV,23,2.1.52,him in gold: I heard him tell it to one of his
705,Henry IV,23,2.1.53,"company last night at supper, a kind of auditor, one"
706,Henry IV,23,2.1.54,"that hath abundance of charge too, God knows what."
707,Henry IV,23,2.1.55,"They are up already, and call for eggs and butter,"
708,Henry IV,23,2.1.56,they will away presently.
709,Henry IV,24,2.1.57,"Sirrah, if they meet not with Saint Nicholas'"
710,Henry IV,24,2.1.58,"clerks, I'll give thee this neck."
711,Henry IV,25,2.1.59,"No, I'll none of it: I pray thee keep that for the"
712,Henry IV,25,2.1.60,"hangman, for I know thou worshippest St. Nicholas"
713,Henry IV,25,2.1.61,as truly as a man of falsehood may.
714,Henry IV,26,2.1.62,"What talkest thou to me of the hangman? if I hang,"
715,Henry IV,26,2.1.63,"I'll make a fat pair of gallows, for if I hang, old"
716,Henry IV,26,2.1.64,"Sir John hangs with me, and thou knowest he is no"
717,Henry IV,26,2.1.65,starveling. Tut! there are other Trojans that thou
718,Henry IV,26,2.1.66,"dreamest not of, the which for sport sake are"
719,Henry IV,26,2.1.67,"content to do the profession some grace, that would,"
720,Henry IV,26,2.1.68,"if matters should be looked into, for their own"
721,Henry IV,26,2.1.69,"credit sake, make all whole. I am joined with no"
722,Henry IV,26,2.1.70,"foot-land rakers, no long-staff sixpenny strikers,"
723,Henry IV,26,2.1.71,"none of these mad mustachio purple-hued malt-worms,"
724,Henry IV,26,2.1.72,"but with nobility and tranquillity, burgomasters and"
725,Henry IV,26,2.1.73,"great oneyers, such as can hold in, such as will"
726,Henry IV,26,2.1.74,"strike sooner than speak, and speak sooner than"
727,Henry IV,26,2.1.75,"drink, and drink sooner than pray: and yet, zounds,"
728,Henry IV,26,2.1.76,"I lie, for they pray continually to their saint, the"
729,Henry IV,26,2.1.77,"commonwealth, or rather, not pray to her, but prey"
730,Henry IV,26,2.1.78,"on her, for they ride up and down on her and make"
731,Henry IV,26,2.1.79,her their boots.
732,Henry IV,27,2.1.80,"What, the commonwealth their boots? will she hold"
733,Henry IV,27,2.1.81,out water in foul way?
734,Henry IV,28,2.1.82,"She will, she will, justice hath liquored her. We"
735,Henry IV,28,2.1.83,"steal as in a castle, cocksure, we have the receipt"
736,Henry IV,28,2.1.84,"of fern-seed, we walk invisible."
737,Henry IV,29,2.1.85,"Nay, by my faith, I think you are more beholding to"
738,Henry IV,29,2.1.86,the night than to fern-seed for your walking invisible.
739,Henry IV,30,2.1.87,Give me thy hand: thou shalt have a share in our
740,Henry IV,30,2.1.88,"purchase, as I am a true man."
741,Henry IV,31,2.1.89,"Nay, rather let me have it, as you are a false thief."
742,Henry IV,32,2.1.90,"Go to, 'homo' is a common name to all men. Bid the"
743,Henry IV,32,2.1.91,"ostler bring my gelding out of the stable. Farewell,"
744,Henry IV,32,2.1.92,you muddy knave.
745,Henry IV,32,,Exeunt
746,Henry IV,32,,"SCENE II. The highway, near Gadshill."
747,Henry IV,32,,Enter PRINCE HENRY and POINS
748,Henry IV,1,2.2.1,"Come, shelter, shelter: I have removed Falstaff's"
749,Henry IV,1,2.2.2,"horse, and he frets like a gummed velvet."
750,Henry IV,2,2.2.3,Stand close.
751,Henry IV,2,,Enter FALSTAFF
752,Henry IV,3,2.2.4,"Poins! Poins, and be hanged! Poins!"
753,Henry IV,4,2.2.5,"Peace, ye fat-kidneyed rascal! what a brawling dost"
754,Henry IV,4,2.2.6,thou keep!
755,Henry IV,5,2.2.7,"Where's Poins, Hal?"
756,Henry IV,6,2.2.8,He is walked up to the top of the hill: I'll go seek him.
757,Henry IV,7,2.2.9,I am accursed to rob in that thief's company: the
758,Henry IV,7,2.2.10,"rascal hath removed my horse, and tied him I know"
759,Henry IV,7,2.2.11,not where. If I travel but four foot by the squier
760,Henry IV,7,2.2.12,"further afoot, I shall break my wind. Well, I doubt"
761,Henry IV,7,2.2.13,"not but to die a fair death for all this, if I"
762,Henry IV,7,2.2.14,'scape hanging for killing that rogue. I have
763,Henry IV,7,2.2.15,forsworn his company hourly any time this two and
764,Henry IV,7,2.2.16,"twenty years, and yet I am bewitched with the"
765,Henry IV,7,2.2.17,rogue's company. If the rascal hath not given me
766,Henry IV,7,2.2.18,"medicines to make me love him, I'll be hanged, it"
767,Henry IV,7,2.2.19,could not be else: I have drunk medicines. Poins!
768,Henry IV,7,2.2.20,Hal! a plague upon you both! Bardolph! Peto!
769,Henry IV,7,2.2.21,I'll starve ere I'll rob a foot further. An 'twere
770,Henry IV,7,2.2.22,"not as good a deed as drink, to turn true man and to"
771,Henry IV,7,2.2.23,"leave these rogues, I am the veriest varlet that"
772,Henry IV,7,2.2.24,ever chewed with a tooth. Eight yards of uneven
773,Henry IV,7,2.2.25,"ground is threescore and ten miles afoot with me,"
774,Henry IV,7,2.2.26,and the stony-hearted villains know it well enough:
775,Henry IV,7,2.2.27,a plague upon it when thieves cannot be true one to another!
776,Henry IV,7,,They whistle
777,Henry IV,7,2.2.28,"Whew! A plague upon you all! Give me my horse, you"
778,Henry IV,7,2.2.29,"rogues, give me my horse, and be hanged!"
779,Henry IV,8,2.2.30,"Peace, ye fat-guts! lie down, lay thine ear close"
780,Henry IV,8,2.2.31,to the ground and list if thou canst hear the tread
781,Henry IV,8,2.2.32,of travellers.
782,Henry IV,9,2.2.33,"Have you any levers to lift me up again, being down?"
783,Henry IV,9,2.2.34,"'Sblood, I'll not bear mine own flesh so far afoot"
784,Henry IV,9,2.2.35,again for all the coin in thy father's exchequer.
785,Henry IV,9,2.2.36,What a plague mean ye to colt me thus?
786,Henry IV,10,2.2.37,"Thou liest, thou art not colted, thou art uncolted."
787,Henry IV,11,2.2.38,"I prithee, good Prince Hal, help me to my horse,"
788,Henry IV,11,2.2.39,good king's son.
789,Henry IV,12,2.2.40,"Out, ye rogue! shall I be your ostler?"
790,Henry IV,13,2.2.41,"Go, hang thyself in thine own heir-apparent"
791,Henry IV,13,2.2.42,"garters! If I be ta'en, I'll peach for this. An I"
792,Henry IV,13,2.2.43,have not ballads made on you all and sung to filthy
793,Henry IV,13,2.2.44,"tunes, let a cup of sack be my poison: when a jest"
794,Henry IV,13,2.2.45,"is so forward, and afoot too! I hate it."
795,Henry IV,13,,"Enter GADSHILL, BARDOLPH and PETO"
796,Henry IV,14,2.2.46,Stand.
797,Henry IV,15,2.2.47,"So I do, against my will."
798,Henry IV,16,2.2.48,"O, 'tis our setter: I know his voice. Bardolph,"
799,Henry IV,16,2.2.49,what news?
800,Henry IV,17,2.2.50,"Case ye, case ye, on with your vizards: there 's"
801,Henry IV,17,2.2.51,"money of the king's coming down the hill, 'tis going"
802,Henry IV,17,2.2.52,to the king's exchequer.
803,Henry IV,18,2.2.53,"You lie, ye rogue, 'tis going to the king's tavern."
804,Henry IV,19,2.2.54,There's enough to make us all.
805,Henry IV,20,2.2.55,To be hanged.
806,Henry IV,21,2.2.56,"Sirs, you four shall front them in the narrow lane,"
807,Henry IV,21,2.2.57,Ned Poins and I will walk lower: if they 'scape
808,Henry IV,21,2.2.58,"from your encounter, then they light on us."
809,Henry IV,22,2.2.59,How many be there of them?
810,Henry IV,23,2.2.60,Some eight or ten.
811,Henry IV,24,2.2.61,"'Zounds, will they not rob us?"
812,Henry IV,25,2.2.62,"What, a coward, Sir John Paunch?"
813,Henry IV,26,2.2.63,"Indeed, I am not John of Gaunt, your grandfather,"
814,Henry IV,26,2.2.64,"but yet no coward, Hal."
815,Henry IV,27,2.2.65,"Well, we leave that to the proof."
816,Henry IV,28,2.2.66,"Sirrah Jack, thy horse stands behind the hedge:"
817,Henry IV,28,2.2.67,"when thou needest him, there thou shalt find him."
818,Henry IV,28,2.2.68,"Farewell, and stand fast."
819,Henry IV,29,2.2.69,"Now cannot I strike him, if I should be hanged."
820,Henry IV,30,2.2.70,"Ned, where are our disguises?"
821,Henry IV,31,2.2.71,"Here, hard by: stand close."
822,Henry IV,31,,Exeunt PRINCE HENRY and POINS
823,Henry IV,32,2.2.72,"Now, my masters, happy man be his dole, say I:"
824,Henry IV,32,2.2.73,every man to his business.
825,Henry IV,32,,Enter the Travellers
826,Henry IV,33,2.2.74,"Come, neighbour: the boy shall lead our horses down"
827,Henry IV,33,2.2.75,"the hill, we'll walk afoot awhile, and ease our legs."
828,Henry IV,34,2.2.76,Stand!
829,Henry IV,35,2.2.77,Jesus bless us!
830,Henry IV,36,2.2.78,"Strike, down with them, cut the villains' throats:"
831,Henry IV,36,2.2.79,ah! whoreson caterpillars! bacon-fed knaves! they
832,Henry IV,36,2.2.80,hate us youth: down with them: fleece them.
833,Henry IV,37,2.2.81,"O, we are undone, both we and ours for ever!"
834,Henry IV,38,2.2.82,"Hang ye, gorbellied knaves, are ye undone? No, ye"
835,Henry IV,38,2.2.83,"fat chuffs: I would your store were here! On,"
836,Henry IV,38,2.2.84,"bacons, on! What, ye knaves! young men must live."
837,Henry IV,38,2.2.85,"You are Grand-jurors, are ye? we'll jure ye, 'faith."
838,Henry IV,38,,Here they rob them and bind them. Exeunt
839,Henry IV,38,,Re-enter PRINCE HENRY and POINS
840,Henry IV,39,2.2.86,The thieves have bound the true men. Now could thou
841,Henry IV,39,2.2.87,"and I rob the thieves and go merrily to London, it"
842,Henry IV,39,2.2.88,"would be argument for a week, laughter for a month"
843,Henry IV,39,2.2.89,and a good jest for ever.
844,Henry IV,40,2.2.90,"Stand close, I hear them coming."
845,Henry IV,40,,Enter the Thieves again
846,Henry IV,41,2.2.91,"Come, my masters, let us share, and then to  horse"
847,Henry IV,41,2.2.92,before day. An the Prince and Poins be not two
848,Henry IV,41,2.2.93,"arrant cowards, there's no equity stirring: there's"
849,Henry IV,41,2.2.94,no more valour in that Poins than in a wild-duck.
